"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2896,683002,"Henderson, Gunnar",2896,100,0.281,0.248,0.32,0.529,0.381,0.373,0.283,177,630,92.8,9.2,2225,89.4,89.63,312,1281,1615,0.19999999999998863,6.45,118,147,125,152,298,328,304,"-29.3","29.3","74.7","7.2",716,475,102,31,7,37,159,22.2,75,10.5,2.29492,0.59938,0.41684,-0.19259,"93.1",156,53.89473684210526,11.157894736842106,7.402234636871509,5.73,-0.62,-0.22,2.34,0.362,53,"1.012361878",0.366,0.492,"-1.012361878",-0.002,-0.0040000000000000036,0.037,0.008,24.4,"37.8"
2469,547180,"Harper, Bryce",2469,100,0.285,0.24,0.331,0.525,0.38,0.357,0.267,157,550,91,13.4,2233,88.8,89.18,348,1305,1164,0.4000000000000057,6.49,116,146,129,151,294,326,302,"-34.2","34.2","72.5","7.2",620,415,85,42,0,30,138,22.3,65,10.5,2.40295,0.54525,0.3085,-0.08868,"92.1",166,48.19277108433735,10.602409638554217,7.096774193548387,5.84,-0.48,-0.17,2.3,0.362,44,"1.384528149",0.347,0.474,"-1.384528149",0.018,0.015000000000000013,0.051,0.023,26.7,"38.6"
2375,646240,"Devers, Rafael",2375,100,0.272,0.244,0.323,0.516,0.364,0.364,0.272,143,525,93.2,11.6,2274,90,90.29,373,1209,1166,0.29999999999999716,6.46,114,146,130,151,286,325,308,"-19.8","19.8","70.8","7.4",587,384,76,34,5,28,147,25,53,9,2.18641,0.66719,0.39005,-0.08675,"93.2",171,52.604166666666664,13.020833333333334,8.517887563884157,5.7,-0.36,-0.18,2.37,0.339,50,"0.835157895",0.339,0.509,"-0.835157895",0,0,0.007,0,30.9,"37.5"
1872,608369,"Seager, Corey",1872,100,0.278,0.234,0.291,0.512,0.365,0.39,0.289,132,475,92.1,13.5,2226,88.9,89.06,232,993,879,0.19999999999998863,6.43,116,146,133,152,299,329,304,"-31.1","31.1","70.7","6.5",522,381,81,21,0,30,96,18.4,42,8,2.38741,0.54103,0.35182,-0.26955,"92.8",170,50.65616797900262,15.223097112860891,11.11111111111111,5.76,-0.67,-0.25,2.28,0.339,58,"1.662767094",0.351,0.561,"-1.662767094",-0.011,-0.011999999999999955,-0.049,-0.025,23.4,"38.7"
2738,623993,"Santander, Anthony",2738,100,0.235,0.271,0.225,0.506,0.345,0.324,0.228,140,595,89.8,22.8,2249,89.7,89.91,272,1362,1376,0.20000000000000284,6.44,115,148,126,150,300,327,298,"-16.2","16.2","71.8","7.1",662,471,69,25,2,44,129,19.5,55,8.3,2.22322,0.65164,0.37402,-0.37402,"91.9",172,41.6135881104034,11.67728237791932,8.308157099697885,5.75,-0.84,-0.05,2.45,0.305,55,"0.590613587",0.301,0.445,"-0.590613587",0.007,0.0040000000000000036,0.061,0.021,20,"38.5"
2608,606192,"Hernández, Teoscar",2608,100,0.272,0.229,0.344,0.501,0.36,0.346,0.25,160,589,90.6,10.2,2278,89.3,89.65,454,1334,1274,0.29999999999999716,6.46,108,151,123,146,306,324,296,"-21.6","21.6","71.4","7.7",649,402,93,32,2,33,188,29,50,7.7,2.36086,0.54178,0.28329,0.06732,"92.3",164,46.766169154228855,14.925373134328357,9.244992295839753,5.71,-0.95,0.28,2.26,0.336,60,"0.827032209",0.317,0.486,"-0.827032209",0.022,0.019000000000000017,0.015,0.014,34,"37.1"
2214,701538,"Merrill, Jackson",2214,100,0.292,0.208,0.318,0.5,0.352,0.372,0.303,162,554,89.8,14.1,2215,89.2,89.39,258,1260,954,0.20000000000000284,6.48,115,146,112,150,289,320,303,"-12.1","12.1","70.2","7.4",592,462,101,31,6,24,101,17.1,28,4.7,2.35452,0.56726,0.37097,-0.2474,"91.9",174,43.93939393939394,11.255411255411255,8.783783783783784,5.73,-0.88,-0.13,2.34,0.325,52,"0.54467028",0.336,0.534,"-0.54467028",-0.011,-0.01100000000000001,-0.034,-0.02,20.5,"37.3"
2713,596019,"Lindor, Francisco",2713,100,0.273,0.227,0.295,0.5,0.363,0.379,0.283,169,618,90.8,16.9,2231,89.4,89.68,313,1322,1391,0.29999999999999716,6.49,116,147,117,150,296,324,300,"-28.2","28.2","70.8","7.5",689,494,96,39,1,33,127,18.4,56,8.1,2.28806,0.62094,0.38026,-0.38235,"92.6",171,47.368421052631575,13.562753036437247,9.724238026124818,5.77,-0.93,-0.06,2.33,0.344,67,"1.037928492",0.353,0.528,"-1.037928492",-0.01,-0.009000000000000008,-0.028,-0.016,23.7,"38.7"
2844,680776,"Duran, Jarren",2844,100,0.285,0.207,0.345,0.492,0.357,0.342,0.275,191,671,90.2,9.1,2265,89.5,89.76,340,1373,1470,0.29999999999999716,6.45,116,146,107,151,282,320,307,"-19.8","19.8","71.8","7.5",734,515,108,48,14,21,160,21.8,53,7.2,2.25743,0.63511,0.35958,-0.15863,"92.2",159,43.883495145631066,9.320388349514563,6.539509536784741,5.72,-0.66,-0.11,2.38,0.341,48,"0.695850914",0.333,0.453,"-0.695850914",0.01,0.008000000000000007,0.039,0.015,24.8,"38.1"
2047,605141,"Betts, Mookie",2047,100,0.289,0.202,0.294,0.491,0.37,0.356,0.282,130,450,89.9,21.4,2263,89.8,90.12,123,826,1221,0.29999999999999716,6.45,109,151,122,146,304,323,296,"-30.2","30.2","66.9","6.8",513,397,82,24,5,19,57,11.1,58,11.3,2.24469,0.62103,0.36575,0.04631,"91.6",185,39.54659949622166,6.045340050377834,4.678362573099415,5.73,-0.69,0.3,2.3,0.368,24,"1.476257938",0.365,0.447,"-1.476257938",0.007,0.0030000000000000027,0.044,0.014,14.9,"37.5"
2852,656941,"Schwarber, Kyle",2852,100,0.248,0.237,0.301,0.485,0.366,0.38,0.256,142,573,93.6,15,2228,88.8,89.1,365,1139,1713,0.29999999999999716,6.45,120,146,127,152,296,326,298,"-33.8","33.8","75.0","7.6",688,384,82,22,0,38,197,28.6,102,14.8,2.35435,0.58473,0.33307,-0.09331,"94.3",157,55.46875,15.625,8.720930232558139,5.84,-0.51,-0.21,2.2,0.362,60,"1.184046283",0.37,0.512,"-1.184046283",-0.008,-0.008000000000000007,-0.027,-0.014,32,"37.9"
2509,673548,"Suzuki, Seiya",2509,100,0.283,0.199,0.37,0.482,0.365,0.346,0.255,145,512,91.7,16.2,2262,89.7,90.08,244,994,1515,0.3999999999999915,6.46,108,150,123,146,304,323,294,"-28.2","28.2","70.7","7.1",582,356,91,27,6,21,160,27.5,60,10.3,2.29045,0.57863,0.34972,0.06829,"92.3",178,49.157303370786515,11.51685393258427,7.0446735395189,5.78,-0.87,0.24,2.27,0.363,41,"1.124790753",0.339,0.453,"-1.124790753",0.028,0.023999999999999966,0.029,0.019,24.5,"37.6"
2415,682985,"Greene, Riley",2415,100,0.262,0.217,0.329,0.479,0.355,0.353,0.253,134,512,91.3,12.2,2235,88.8,88.98,286,1069,1345,0.20000000000000284,6.41,117,147,123,152,294,328,302,"-19.7","19.7","73.5","7.1",581,358,77,27,6,24,156,26.9,61,10.5,2.34235,0.59118,0.37677,-0.23258,"92.2",161,46.927374301675975,13.40782122905028,8.261617900172118,5.73,-0.84,-0.2,2.34,0.345,48,"0.814120083",0.337,0.477,"-0.814120083",0.009,0.007999999999999952,0.002,0.002,26.8,"38.6"
2522,518692,"Freeman, Freddie",2522,100,0.282,0.194,0.306,0.476,0.365,0.366,0.278,153,542,89.4,14.3,2247,89.6,89.89,251,1245,1277,0.30000000000001137,6.43,118,147,128,151,295,322,303,"-17.2","17.2","68.4","6.7",628,450,94,35,2,22,100,15.9,68,10.8,2.27956,0.60002,0.36216,-0.16631,"91.7",166,41.77777777777778,9.11111111111111,6.528662420382165,5.76,-0.56,-0.08,2.43,0.368,41,"0.683148295",0.367,0.466,"-0.683148295",0.004,0.0010000000000000009,0.01,-0.001,20.2,"37.8"
2387,592518,"Machado, Manny",2387,100,0.275,0.197,0.302,0.472,0.34,0.338,0.272,163,593,92.4,12.9,2258,89.9,90.19,300,1232,1155,0.29999999999999716,6.52,108,151,124,147,303,325,296,"-18.1","18.1","73.3","7.7",637,473,104,30,0,29,124,19.5,39,6.1,2.24424,0.62589,0.3741,0.15047,"93.1",165,48.837209302325576,10.993657505285412,8.16326530612245,5.73,-1.03,0.13,2.32,0.319,52,"0.757855048",0.319,0.461,"-0.757855048",0.003,0,0.011,0.002,24.4,"38.1"
2751,682829,"De La Cruz, Elly",2751,100,0.259,0.212,0.359,0.471,0.349,0.328,0.24,160,618,90.9,9.5,2230,88.6,88.91,398,1193,1558,0.30000000000001137,6.44,114,147,114,150,297,325,299,"-19.3","19.3","72.7","7.2",694,403,89,36,10,25,218,31.4,67,9.7,2.41024,0.53691,0.30132,-0.30132,"92.7",151,45.6575682382134,12.655086848635236,7.348703170028818,5.82,-0.63,-0.01,2.41,0.337,51,"0.701817521",0.32,0.428,"-0.701817521",0.019,0.017000000000000015,0.043,0.021,33.4,"38.7"
2011,671218,"Ramos, Heliot",2011,100,0.269,0.2,0.329,0.469,0.339,0.338,0.25,128,475,91.5,10.5,2284,89.5,89.85,290,1012,999,0.29999999999999716,6.44,108,151,122,147,305,323,293,"-14.2","14.2","73.1","6.8",516,344,80,23,3,22,135,26.2,35,6.8,2.28137,0.60277,0.30927,0.0531,"92.4",169,47.383720930232556,14.534883720930234,9.689922480620156,5.81,-0.78,0.26,2.27,0.32,50,"0.707458976",0.305,0.481,"-0.707458976",0.019,0.015000000000000013,-0.012,0.001,28.7,"38.6"
2542,553993,"Suárez, Eugenio",2542,100,0.256,0.214,0.309,0.469,0.337,0.33,0.247,146,571,89.1,19.5,2266,89.6,89.95,349,1200,1342,0.4000000000000057,6.47,108,151,124,146,303,326,296,"-12.9","12.9","69.9","7.7",640,406,86,28,2,30,176,27.5,49,7.7,2.25483,0.62756,0.3314,0.0412,"91.9",166,42.364532019704434,11.330049261083744,7.187499999999999,5.74,-0.53,0.23,2.33,0.319,46,"0.509008655",0.314,0.447,"-0.509008655",0.009,0.0050000000000000044,0.022,0.007,29.1,"37.7"
